,DayOfWeek,DayOfMonth,DayOfYear,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,UNSPECIFIED CULEX,MoonPhase,Sunrise,Sunset,USGS04087440,USGS05536105,USGS05536118,USGS05536121,USGS05536123,Tmax_1,Tmin_1,Tavg_1,Depart_1,DewPoint_1,WetBulb_1,Heat_1,Cool_1,Depth_1,Water1_1,SnowFall_1,PrecipTotal_1,StnPressure_1,SeaLevel_1,ResultSpeed_1,ResultDir_1,AvgSpeed_1,Tmax_2,Tmin_2,Tavg_2,Depart_2,DewPoint_2,WetBulb_2,Heat_2,Cool_2,Depth_2,Water1_2,SnowFall_2,PrecipTotal_2,StnPressure_2,SeaLevel_2,ResultSpeed_2,ResultDir_2,AvgSpeed_2,WnvPresent
0,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
1,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
2,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
3,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
4,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
5,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
6,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
7,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
8,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
9,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
10,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
11,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
12,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
13,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
14,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
15,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
16,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
17,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
18,1,29,149,0,1,0,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
19,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
20,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
21,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
22,1,29,149,0,0,1,0,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
23,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
24,1,29,149,0,0,0,1,0,0,0,0,11,5.325833333333334,20.279166666666665,0.0,1.49,-2.01,0.0,-2.13,88,60,74,10,58,65,0, 9,0,0,0.0,0.00,29.39,30.11,5.8,18,6.5,88,65,77,0,59,66,0,12,0,0,0,0.00,29.44,30.09,5.8,16,7.4,0
25,1,5,156,0,0,1,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
26,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
27,1,5,156,0,1,0,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
28,1,5,156,0,0,1,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
29,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
30,1,5,156,0,0,1,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
31,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
32,1,5,156,0,1,0,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
33,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
34,1,5,156,0,0,1,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
35,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
36,1,5,156,0,1,0,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
37,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
38,1,5,156,0,0,1,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
39,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
40,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
41,1,5,156,0,0,0,1,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
42,1,5,156,0,0,1,0,0,0,0,0,18,5.275277777777778,20.36638888888889,0.0,2.73,-2.08,0.0,-2.2,64,47,56,-9,48,51,9, 0,0,0,0.0,0.42,29.10,29.79,5.2,5,7.6,63,51,57,0,47,52,8, 0,0,0,0,0.27,29.16,29.78,6.2,3,8.1,0
