,Latitude,Longitude,Elevation
0,41.95469,-87.800991,194.0822296142578
1,41.994991,-87.769279,189.1023101806641
2,41.974089,-87.824812,198.2140655517578
3,41.9216,-87.666455,179.6249542236328
4,41.891118,-87.654491,181.7394104003906
5,41.867108,-87.654224,180.6139984130859
6,41.896282,-87.655232,180.6879730224609
7,41.919343,-87.694259,182.0141296386719
8,41.921965,-87.632085,178.7538452148438
9,41.688324,-87.676709,199.4199371337891
10,41.862292,-87.64886,180.6139984130859
11,41.720848,-87.666014,193.5680694580078
12,41.731922,-87.677512,200.8085174560547
13,41.891126,-87.61156,179.9028625488281
14,41.999129,-87.795585,189.9287414550781
15,42.01743,-87.687769,186.8201293945312
16,41.907645,-87.760886,187.4326171875
17,41.732984,-87.649642,184.2001190185547
18,41.981964,-87.812827,198.164306640625
19,41.944869,-87.832763,191.9140014648438
20,42.011601,-87.811506,196.9937286376953
21,41.94983,-87.698457,178.5824584960938
22,41.979243,-87.750938,186.5348968505859
23,41.986921,-87.689778,182.5452728271484
24,41.801498,-87.763416,181.3130035400391
25,41.906638,-87.701431,183.1502990722656
26,41.723195,-87.64997,184.7119750976562
27,41.868077,-87.666901,180.6139984130859
28,41.869216,-87.627561,179.7140045166016
29,41.662014,-87.724608,187.25537109375
30,41.961743,-87.76007,187.6855010986328
31,41.953067,-87.776792,189.0140075683594
32,41.878114,-87.629798,181.3196868896484
33,41.958271,-87.702575,179.7236938476562
34,41.932094,-87.700117,181.3150024414062
35,41.994469,-87.667736,180.2990417480469
36,42.006858,-87.675919,186.218994140625
37,41.916265,-87.800515,194.3701019287109
38,41.846075,-87.716277,181.914306640625
39,41.918705,-87.752329,188.6658935546875
40,41.682587,-87.707973,187.6285705566406
41,41.725517,-87.614258,180.9976959228516
42,41.948167,-87.730698,183.2150726318359
43,41.963976,-87.69181,180.0756225585938
44,41.953705,-87.733974,183.8339233398438
45,41.964242,-87.757639,187.4140014648438
46,41.990284,-87.797127,192.9839324951172
47,42.008314,-87.777921,189.4335784912109
48,41.991429,-87.747113,185.7945251464844
49,41.843811,-87.686763,182.4959106445312
50,41.921177,-87.79518,198.0140075683594
51,41.852652,-87.719887,181.4407348632812
52,41.857402,-87.694991,182.0803985595703
53,41.868142,-87.696269,182.5064849853516
54,41.846283,-87.656913,179.8970031738281
55,41.721474,-87.648064,184.6555328369141
56,41.869107,-87.696293,182.5718383789062
57,41.719059,-87.675088,201.6557922363281
58,41.966987,-87.674677,182.8001403808594
59,41.923738,-87.785288,197.5115509033203
60,41.970248,-87.787992,190.114501953125
61,42.010412,-87.66214,179.7969970703125
62,41.89923,-87.716788,184.2149963378906
63,41.692555,-87.598865,184.5986022949219
64,41.94016,-87.794896,196.0786895751953
65,41.903002,-87.688267,182.1554107666016
66,41.942114,-87.776385,189.51416015625
67,41.960616,-87.777189,188.9140014648438
68,41.883284,-87.705085,182.8174285888672
69,41.704336,-87.703736,189.9295959472656
70,41.962728,-87.748367,183.8504486083984
71,41.836644,-87.677737,182.356689453125
72,41.837085,-87.729384,181.3140106201172
73,41.911824,-87.726737,184.3150024414062
74,41.823065,-87.678378,181.3529815673828
75,41.801179,-87.679447,182.8145599365234
76,41.800737,-87.71188,182.9138946533203
77,41.778297,-87.752411,189.0124206542969
78,41.77166,-87.703047,185.4769897460938
79,41.759346,-87.745602,188.9140014648438
80,41.768388,-87.678649,186.4569396972656
81,41.797616,-87.797894,181.4237365722656
82,41.781416,-87.776532,187.4129943847656
83,41.773215,-87.60088,179.4523468017578
84,41.822536,-87.666343,181.3140411376953
85,41.799282,-87.585487,180.0768127441406
86,41.794781,-87.615989,182.9607543945312
87,41.778748,-87.586427,179.8417663574219
88,41.766202,-87.562889,178.7279510498047
89,41.754676,-87.612922,178.8030090332031
90,41.821582,-87.627796,182.7544097900391
91,41.803423,-87.642984,181.9514007568359
92,41.754292,-87.590773,185.2413482666016
93,41.798697,-87.736812,183.1020202636719
94,41.776156,-87.778927,187.4129943847656
95,41.82561,-87.726549,178.7889404296875
96,41.673408,-87.599862,178.9762878417969
97,41.726465,-87.585413,179.9811096191406
98,41.678618,-87.559308,178.2930145263672
99,41.737052,-87.543067,179.4930572509766
100,41.740641,-87.546587,179.2875671386719
101,41.680946,-87.535198,178.2649841308594
102,41.686398,-87.531635,178.3657379150391
103,41.729669,-87.582699,178.0064392089844
104,41.704572,-87.565666,179.0023040771484
105,41.74785,-87.702716,188.7238006591797
106,41.775051,-87.655356,182.8232574462891
107,41.644612,-87.604498,179.6930694580078
108,41.733643,-87.55551,179.1203460693359
109,41.717753,-87.531657,180.0155334472656
110,41.750498,-87.605294,180.2953033447266
111,41.702724,-87.536497,178.6931457519531
112,41.984809,-87.728492,184.4151458740234
113,41.772846,-87.740029,189.0970306396484
114,41.825902,-87.667827,180.8298797607422
115,41.659112,-87.538693,178.7552795410156
116,41.992478,-87.862995,191.7856140136719
117,41.974689,-87.890615,197.220947265625
